"＃" "漢字" "Meaning" "Story or Image" "As component" "Examples"     
"千七百七十一" "含" "CONTAIN, include"        
"千七百七十二" "琴" "KOTO (Japanese zither)"        
"千七百七十三" "迷" "PERPLEXED, lost"        
"千七百七十四" "謎" "RIDDLE, enigma"        
"千七百七十五" "逆" "REVERSE, contrary"        
"千七百七十六" "遡" "GO BACK IN TIME, go upstream"        
"千七百七十七" "塑" "MODEL, mould"        
"千七百七十八" "勲" "MERITORIOUS SERVICE"        
"千七百七十九" "薫" "BALMY, fragrant"        
"千七百八十" "芳" "FRAGRANT"        
"千七百八十一" "香" "SWEET SMELL"        
"千七百八十二" "秀" "EXCELLENT"        
"千七百八十三" "誘" "INDUCE, invite"        
"千七百八十四" "拐" "KIDNAP"        
"千七百八十五" "透" "PASS THROUGH | SEE THROUGH, transparent"        
"千七百八十六" "携" "CARRY IN HAND, join hands"        
"千七百八十七" "雄" "MALE | HEROIC"        
"千七百八十八" "雌" "FEMALE"        
"千七百八十九" "些" "A LITTLE BIT"        
"千七百九十" "柴" "BRUSHWOOD, firewood"        
"千七百九十一" "紫" "PURPLE"        
"千七百九十二" "髪" "HAIR"        
"千七百九十三" "髭" "BEARD, moustache"        
"千七百九十四" "詐" "SWINDLE"        
"千七百九十五" "欺" "DECEIVE"        
"千七百九十六" "棋" "SHOGI (Japanese chess)"        
"千七百九十七" "碁" "GO (Japanese checkers)"        
"千七百九十八" "甚" "EXTREMELY"        
"千七百九十九" "勘" "CHECK, consider | INTUITIVE PERCEPTION"        
"千八百" "堪" "ENDURE, tolerate"        
"千八百一" "匹" "COUNTER FOR ANIMALS"        
"千八百二" "匠" "CRAFTSMAN"        
"千八百三" "匿" "CONCEAL"        
"千八百四" "諾" "CONSENT"        
"千八百五" "乞" "BEG"        
"千八百六" "迄" "UP TO, until"        
"千八百七" "乾" "DRY"        
"千八百八" "幹" "TRUNK"        
"千八百九" "操" "MANIPULATE | FIDELITY"        
"千八百十" "燥" "DRY OUT"        
"千八百十一" "繰" "REEL, spin | SHIFT ONWARD"        
"千八百十二" "藻" "SEAWEED, algae"        
"千八百十三" "噴" "SPOUT, gush out"        
"千八百十四" "墳" "TUMULUS"        
"千八百十五" "憤" "INDIGNATION"        
"千八百十六" "牙" "FANG, tusk"        
"千八百十七" "芽" "BUD"        
"千八百十八" "雅" "ELEGANT"        
"千八百十九" "邪" "EVIL"        
"千八百二十" "既" "ALREADY, previous"        
"千八百二十一" "概" "GENERAL, rough"        
"千八百二十二" "慨" "DEPLORE"        
"千八百二十三" "苗" "SEEDLING"        
"千八百二十四" "描" "DEPICT"        
"千八百二十五" "猫" "CAT"        
"千八百二十六" "萌" "GERMINATE, sprout"        
"千八百二十七" "兆" "SIGN, omen, show signs of | TRILLION"        
"千八百二十八" "眺" "GAZE"        
"千八百二十九" "逃" "ESCAPE"        
"千八百三十" "桃" "PEACH"        
"千八百三十一" "跳" "JUMP, leap"        
"千八百三十二" "挑" "PROVOKE, challenge"        
"千八百三十三" "拙" "CLUMSY"        
"千八百三十四" "屈" "BEND, submit to"        
"千八百三十五" "掘" "DIG"        
"千八百三十六" "堀" "DITCH"        
"千八百三十七" "封" "SEAL, enclose | ENFEOFF (provide land in exchange for military service)"        
"千八百三十八" "筒" "TUBE"        
"千八百三十九" "管" "PIPE | EXERCISE CONTROL"        
"千八百四十" "棺" "COFFIN"        
"千八百四十一" "轄" "EXERCISE JURISDICTION OVER"        
"千八百四十二" "洞" "CAVE"        
"千八百四十三" "窟" "CAVE"        
"千八百四十四" "淫" "LEWD"        
"千八百四十五" "妊" "BECOME PREGNANT"        
"千八百四十六" "娠" "CONCEIVE"        
"千八百四十七" "唇" "LIP"        
"千八百四十八" "辱" "HUMILIATE"        
"千八百四十九" "襲" "RAID | INHERIT"        
"千八百五十" "伏" "PROSTRATE, turn over"        
"千八百五十一" "吠" "HOWL, bark"        
"千八百五十二" "噛" "BITE, chew"        
"千八百五十三" "班" "SQUAD"        
"千八百五十四" "斑" "SPOT, speck"        
"千八百五十五" "輩" "FELLOW"        
"千八百五十六" "悲" "SAD"        
"千八百五十七" "忽" "SUDDENLY, at once | CARELESS"        
"千八百五十八" "惚" "FALL IN LOVE WITH; grow senile"        
"千八百五十九" "猿" "MONKEY, ape"        
"千八百六十" "哀" "SORROW | PITY"        
"千八百六十一" "衰" "DECLINE, degenerate"        
"千八百六十二" "衷" "INNER HEART"        
"千八百六十三" "喪" "MOURNING | LOSS"        
"千八百六十四" "忌" "MOURNING | ABHOR"        
"千八百六十五" "卓" "TABLE | PROMINENT"        
"千八百六十六" "悼" "MOURN"        
"千八百六十七" "貞" "CHASTE"        
"千八百六十八" "偵" "SPY"        
"千八百六十九" "覇" "SUPREMACY, domination"        
"千八百七十" "覆" "COVER, conceal | OVERTURN"        
"千八百七十一" "履" "FULFILL | PUT ON FOOTWEAR"        
"千八百七十二" "属" "BELONG TO; be subordinate to"        
"千八百七十三" "嘱" "CHARGE WITH"        
"千八百七十四" "偶" "BY CHANCE | COUPLE"        
"千八百七十五" "隅" "NOOK"        
"千八百七十六" "隙" "CREVICE, space, spare time"        
"千八百七十七" "遇" "TREAT, receive | ENCOUNTER"        
"千八百七十八" "愚" "FOOLISH"        
"千八百七十九" "曹" "SERGEANT"        
"千八百八十" "遭" "MEET WITH, encounter"        
"千八百八十一" "槽" "TUB, tank"        
"千八百八十二" "妨" "HINDER, obstruct"        
"千八百八十三" "坊" "SONNY BOY | Colloquial person suffix"        
"千八百八十四" "傍" "BESIDE"        
"千八百八十五" "於" "AT, in, on"        
"千八百八十六" "房" "CHAMBER | TUFT, tassel"        
"千八百八十七" "扇" "FAN"        
"千八百八十八" "扉" "HINGED DOOR"        
"千八百八十九" "雇" "EMPLOY"        
"千八百九十" "顧" "LOOK BACK (ON); take into consideration"        
"千八百九十一" "屑" "SCRAPS, scum"        
"千八百九十二" "糞" "DROPPINGS, shit"        
"千八百九十三" "尿" "URINE"        
"千八百九十四" "泌" "SECRETE"        
"千八百九十五" "尻" "BUTTOCKS"        
"千八百九十六" "炉" "FURNACE"        
"千八百九十七" "窯" "KILN"        
"千八百九十八" "釜" "IRON POT, cauldron"        
"千八百九十九" "爺" "OLD MAN, grandpa"        
"千九百" "窪" "SINK, cavity"        
"千九百一" "佳" "FINE, beautiful"        
"千九百二" "涯" "FAR END, outer limits"        
"千九百三" "暇" "FREE TIME"        
"千九百四" "霞" "MIST, haze"        
"千九百五" "雰" "ATMOSPHERE"        
"千九百六" "霧" "FOG"        
"千九百七" "露" "DEW | EXPOSE"        
"千九百八" "霜" "FROST"        
"千九百九" "箱" "BOX"        
"千九百十" "籍" "REGISTER"        
"千九百十一" "貫" "PENETRATE, pierce through; carry out"        
"千九百十二" "慣" "HABITUAL PRACTICE"        
"千九百十三" "頂" "SUMMIT | RECEIVE HUMBLY, eat"        
"千九百十四" "戴" "RECEIVE HUMBLY"        
"千九百十五" "項" "CLAUSE"        
"千九百十六" "頃" "TIME | ABOUT"        
"千九百十七" "傾" "INCLINE, lean"        
"千九百十八" "頑" "STUBBORN"        
"千九百十九" "頒" "DISTRIBUTE WIDELY"        
"千九百二十" "頓" "SUDDENLY, immediately"        
"千九百二十一" "顕" "MANIFEST"        
"千九百二十二" "領" "DOMINION"        
"千九百二十三" "頻" "REPEATEDLY, frequently"        
"千九百二十四" "捗" "MAKE PROGESS"        
"千九百二十五" "順" "ORDER, sequence | OBEY"        
"千九百二十六" "馴" "BECOME TAME, get used to"        
"千九百二十七" "訓" "INSTRUCT, admonish"        
"千九百二十八" "須" "MUST, absolutely necessary"        
"千九百二十九" "額" "AMOUNT | PICTURE FRAME | FOREHEAD"        
"千九百三十" "頼" "RELY ON | ASK"        
"千九百三十一" "瀬" "SHALLOWS, rapids"        
"千九百三十二" "峡" "GORGE"        
"千九百三十三" "狭" "NARROW, tight"        
"千九百三十四" "挟" "HOLD BETWEEN, punch"        
"千九百三十五" "頰" "CHEEKS"        
"千九百三十六" "顎" "JAW, chin"        
"千九百三十七" "煩" "VEXING"        
"千九百三十八" "串" "SKEWER"        
"千九百三十九" "患" "AFFECTED BY A DISEASE"        
"千九百四十" "疾" "DISEASE | FAST"        
"千九百四十一" "痴" "STUPID | INFATUATED"        
"千九百四十二" "疫" "EPIDEMIC"        
"千九百四十三" "痢" "DIARRHEA"        
"千九百四十四" "痘" "SMALLPOX"        
"千九百四十五" "瘍" "ULCER, boil"        
"千九百四十六" "癌" "CANCER"        
"千九百四十七" "痩" "BECOME THIN"        
"千九百四十八" "疲" "TIRED"        
"千九百四十九" "被" "BE SUBJECTED TO; be covered in"        
"千九百五十" "披" "OPEN OUT, reveal"        
"千九百五十一" "抜" "PULL OUT | STAND OUT/above"        
"千九百五十二" "控" "HOLD BACK, deduct; note, memo"        
"千九百五十三" "扶" "LEND SUPPORT TO"        
"千九百五十四" "抹" "WIPE, erase"        
"千九百五十五" "拓" "OPEN UP (farmland or new frontiers)"        
"千九百五十六" "拷" "TORTURE"        
"千九百五十七" "楼" "TALL BUILDING"        
"千九百五十八" "壇" "PLATFORM, rostrum"        
"千九百五十九" "塔" "TOWER, pagoda"        
"千九百六十" "搭" "LOAD ON BOARD"        
"千九百六十一" "寡" "FEW | WIDOW(er)"        
"千九百六十二" "賓" "GUEST"        
"千九百六十三" "飾" "DECORATE"        
"千九百六十四" "飽" "SATIATED; tired of"        
"千九百六十五" "餓" "STARVE"        
"千九百六十六" "飢" "STARVE"        
"千九百六十七" "机" "DESK"        
"千九百六十八" "冗" "REDUNDANT, superfluous"        
"千九百六十九" "冠" "CROWN"        
"千九百七十" "離" "SEPARATE"        
"千九百七十一" "胸" "CHEST"        
"千九百七十二" "悩" "SUFFER, be troubled"        
"千九百七十三" "脳" "BRAIN"        
"千九百七十四" "臓" "INTERNAL ORGAN"        
"千九百七十五" "胃" "STOMACH"        
"千九百七十六" "炎" "FLAME | INFLAMMATION, -itis"        
"千九百七十七" "談" "TALK, converse"        
"千九百七十八" "淡" "LIGHT, faint"        
"千九百七十九" "災" "NATURAL CALAMITY"        
"千九百八十" "肝" "LIVER"        
"千九百八十一" "肺" "LUNG"        
"千九百八十二" "胆" "GALLBLADDER, gall"        
"千九百八十三" "腺" "GLAND"        
"千九百八十四" "胞" "MEMBRANOUS SAC"        
"千九百八十五" "腸" "INTESTINES"        
"千九百八十六" "胎" "WOMB | FETUS"        
"千九百八十七" "腰" "WAIST"        
"千九百八十八" "肘" "ELBOW"        
"千九百八十九" "膝" "KNEE; lap"        
"千九百九十" "股" "CROTCH, thigh"        
"千九百九十一" "肢" "LIMB"        
"千九百九十二" "胴" "TRUNK, torso"        
"千九百九十三" "脇" "ARMPIT | ASIDE"        
"千九百九十四" "脂" "FAT"        
"千九百九十五" "詣" "VISIT A TEMPLE"        
"千九百九十六" "肪" "ANIMAL FAT"        
"千九百九十七" "肌" "SKIN"        
"千九百九十八" "膚" "SKIN"        
"千九百九十九" "慮" "CONSIDER"        
"二千" "虐" "CRUEL, tyrannical"        
"二千一" "虞" "RISK, fears"        
"二千二" "劇" "EMPTY, void"        
"二千三" "虚" "FALSE"        
"二千四" "虜" "CAPTIVE"        
"二千五" "勇" "BRAVE; in high spirits"        
"二千六" "湧" "WELL UP, gush out"        
"二千七" "戯" "SPORT, play"        
"二千八" "繊" "FINE | FIBRE"        
"二千九" "緻" "FINE"        
"二千十" "嘘" "LIE, fib"        
"二千十一" "噂" "RUMOUR, gossip"        
"二千十二" "樽" "BARREL"        
"二千十三" "距" "DISTANCE"        
"二千十四" "拒" "REFUSE, reject"        
"二千十五" "嬉" "GLAD"        
"二千十六" "鼓" "DRUM"        
"二千十七" "樹" "STANDING TREE"        
"二千十八" "膨" "EXPAND"        
"二千十九" "脹" "SWELL"        
"二千二十" "張" "SPREAD (out), extend (over) | STRAIN, stretch"        
"二千二十一" "帳" "NOTEBOOK, curtain"        
"二千二十二" "腫" "TUMOUR, swelling"        
"二千二十三" "肥" "FATTEN"        
"二千二十四" "把" "GRIP"        
"二千二十五" "誇" "BOAST"        
"二千二十六" "覧" "LOOK OVER, view"        
"二千二十七" "監" "OVERSEE"        
"二千二十八" "鑑" "APPRAISE | REFER TO"        
"二千二十九" "艦" "WARSHIP"        
"二千三十" "濫" "EXCESSIVE"        
"二千三十一" "藍" "INDIGO"        
"二千三十二" "賢" "WISE, intelligent"        
"二千三十三" "腎" "KIDNEY"        
"二千三十四" "堅" "FIRM, solid"        
"二千三十五" "緊" "TIGHTEN | EXIGENT"        
"二千三十六" "勃" "SUDDENLY RISING"        
"二千三十七" "励" "WORK HARD; urge on"        
"二千三十八" "栃" "HORSE CHESTNUT (tree)"        
"二千三十九" "茨" "BRIAR, thorn"        
"二千四十" "羨" "ENVIOUS"        
"二千四十一" "歳" "YEAR | -YEARS OLD"        
"二千四十二" "戚" "KIN"        
"二千四十三" "叔" "YOUNGER SIBLING OF PARENT"        
"二千四十四" "淑" "GRACEFUL, refined"        
"二千四十五" "寂" "LONESOME, desolate; elegant simplicity"        
"二千四十六" "督" "SUPERVISE; urge on | COMMANDER"        
"二千四十七" "奴" "SLAVE | GUY"        
"二千四十八" "努" "EXERT"        
"二千四十九" "怒" "GET ANGRY"        
"二千五十" "隷" "UNDERLING"        
"二千五十一" "款" "ARTICLE, subsection | FRIENDLY RELATIONS"        
"二千五十二" "殻" "HUSK, shell"        
"二千五十三" "穀" "GRAIN, cereal"        
"二千五十四" "臼" "MORTAR"        
"二千五十五" "毀" "BREAK, chip"        
"二千五十六" "廉" "HONEST | CHEAP"        
"二千五十七" "鎌" "SICKLE"        
"二千五十八" "嫌" "DISLIKE"        
"二千五十九" "謙" "HUMBLE, modest"        
"二千六十" "遜" "HUMBLE, modest"        
"二千六十一" "亀" "TURTLE"        
"二千六十二" "練" "TRAIN, drill"        
"二千六十三" "錬" "REFINE; train"        
"二千六十四" "鍛" "FORGE; train"        
"二千六十五" "鉱" "ORE | MINE"        
"二千六十六" "銅" "COPPER, bronze"        
"二千六十七" "鉛" "LEAD (metal)"        
"二千六十八" "銑" "PIG IRON"        
"二千六十九" "鋼" "STEEL"        
"二千七十" "剛" "TOUGH, strong"        
"二千七十一" "綱" "ROPE | MAIN POINTS"        
"二千七十二" "網" "NET"        
"二千七十三" "縄" "ROPE"        
"二千七十四" "鉢" "BOWL"        
"二千七十五" "鎖" "CHAIN"        
"二千七十六" "絆" "BONDS, fetters"        
"二千七十七" "鍵" "KEY"        
"二千七十八" "釘" "NAIL"        
"二千七十九" "錮" "LOCK DOWN"        
"二千八十" "錠" "LOCK | PILL"        
"二千八十一" "綻" "COME APART AT THE SEAMS"        
"二千八十二" "鈴" "BELL"        
"二千八十三" "鐘" "BELL"        
"二千八十四" "瞳" "PUPIL (of the eye)"        
"二千八十五" "憧" "YEARN AFTER"        
"二千八十六" "憬" "YEARN AFTER"        
"二千八十七" "卑" "MEAN, despicable"        
"二千八十八" "碑" "MONUMENT"        
"二千八十九" "痺" "PARALYSIS"        
"二千九十" "鬼" "DEMON, ghost"        
"二千九十一" "塊" "LUMP, mass"        
"二千九十二" "醜" "UGLY"        
"二千九十三" "魂" "SOUL, spirit"        
"二千九十四" "魅" "CHARM"        
"二千九十五" "魔" "DEMON, devil"        
"二千九十六" "畏" "FEAR"        
"二千九十七" "刷" "PRINT"        
"二千九十八" "擦" "RUB, chafe"        
"二千九十九" "摩" "RUB AGAINST"        
"二千百" "磨" "POLISH"        
"二千百一" "凹" "CONCAVE"        
"二千百二" "凸" "CONVEX"        
"二千百三" "奉" "DEDICATE, offer"        
"二千百四" "奏" "PLAY MUSIC"        
"二千百五" "泰" "TRANQUIL"        
"二千百六" "俸" "SALARY"        
"二千百七" "棒" "ROD, stick"        
"二千百八" "捧" "OFFER RESPECTFULLY"        
"二千百九" "耐" "WITHSTAND, endure"        
"二千百十" "霊" "SPIRIT, soul"        
"二千百十一" "需" "DEMAND, NEED"        
"二千百十二" "濡" "WET"        
"二千百十三" "儒" "CONFUCIANISM"        
"二千百十四" "端" "EDGE, extremity"        
"二千百十五" "壱" "ONE (in legal documents)"        
"二千百十六" "尼" "BUDDHIST NUN"        
"二千百十七" "泥" "MUD"        
"二千百十八" "漏" "LEAK"        
"二千百十九" "氾" "FLOOD"        
"二千百二十" "彙" "CATALOG"        
"二千百二十一" "某" "A CERTAIN"        
"二千百二十二" "謀" "SCHEME, plot"        
"二千百二十三" "媒" "MEDIATE"        
"二千百二十四" "尉" "OFFICER"        
"二千百二十五" "慰" "CONSOLE, cheer up"        
"二千百二十六" "酪" "DAIRY PRODUCTS"        
"二千百二十七" "酵" "FERMENT"        
"二千百二十八" "醤" "SOY SAUCE; salted / fermented food"        
"二千百二十九" "酢" "VINEGAR"        
"二千百三十" "酎" "SHOCHU (Japanese distilled liquor)"        
"二千百三十一" "酌" "POUR WINE"        
"二千百三十二" "釣" "ANGLE"        
"二千百三十三" "畜" "(RAISE) LIVESTOCK"        
"二千百三十四" "蓄" "STORE UP"        
"二千百三十五" "玄" "PROFOUND, occult"        
"二千百三十六" "眩" "DAZZLING; dizzying"        
"二千百三十七" "呟" "MUTTER"        
"二千百三十八" "囁" "WHISPER"        
"二千百三十九" "喋" "SPEAK, chat"        
"二千百四十" "喩" "LIKEN"        
"二千百四十一" "鬱" "DEPRESSION, gloom | CONGESTED, pent up"        
"二千百四十二" "弦" "STRING (of bow of musical instrument)"        
"二千百四十三" "舷" "GUNWHALE"        
"二千百四十四" "舵" "RUDDER, helm"        
"二千百四十五" "幻" "PHANTOM, illusion"        
"二千百四十六" "幽" "QUIET AND SECLUDED; deep hidden"        
"二千百四十七" "幼" "VERY YOUNG" """Child's power"" – the energy of the Very Young"       
"二千百四十八" "稚" "CHILD"        
"二千百四十九" "維" "FIBRE; hold together"        
"二千百五十" "推" "INFER | PUSH FORWARD"        
"二千百五十一" "堆" "PILE UP"        
"二千百五十二" "椎" "SPINE | CHINQUAPIN"        
"二千百五十三" "脊" "SPINE"        
"二千百五十四" "雛" "CHICK, doll"        
"二千百五十五" "誰" "WHO"        
"二千百五十六" "唯" "MERELY, only"        
"二千百五十七" "鳴" "CRY, chirp | SOUND"        
"二千百五十八" "亥" "(sign of) THE BOAR"        
"二千百五十九" "刻" "ENGRAVE, carve | POINT IN TIME"        
"二千百六十" "劾" "EXPOSE CRIMES"        
"二千百六十一" "核" "NUCLEUS, core"        
"二千百六十二" "骸" "BODY; skeleton"        
"二千百六十三" "咳" "COUGH"        
"二千百六十四" "該" "CORRESPOND TO"        
"二千百六十五" "診" "EXAMINE A PATIENT"        
"二千百六十六" "珍" "RARE, curious"        
"二千百六十七" "瓦" "TILE, brick"        
"二千百六十八" "併" "PUT TOGETHER"        
"二千百六十九" "瓶" "BOTTLE, jar"        
"二千百七十" "屏" "FENCE, folding screen"        
"二千百七十一" "塀" "FENCE, wall"        
"二千百七十二" "餅" "RICE CAKE"        
"二千百七十三" "餌" "FEED | BAIT"        
"二千百七十四" "呑" "SWALLOW, gulp"        
"二千百七十五" "沃" "FERTILITY"        
"二千百七十六" "妖" "BEWITCHING"        
"二千百七十七" "呪" "CHARM, curse"        
"二千百七十八" "艶" "CHARMING, voluptuous; glossy | ROMANCE"        
"二千百七十九" "慈" "AFFECTIONATE, compassionate"        
"二千百八十" "滋" "NOURISH"        
"二千百八十一" "磁" "MAGNETISM"        
"二千百八十二" "擁" "EMBRACE, protect"        
"二千百八十三" "腐" "ROT, decay"        
"二千百八十四" "芯" "CORE, wick"        
"二千百八十五" "蒔" "SOW, scatter"        
"二千百八十六" "撒" "SCATTER"        
"二千百八十七" "撤" "WITHDRAW"        
"二千百八十八" "徹" "GO THROUGH (with)"        
"二千百八十九" "微" "SLIGHT, minute"        
"二千百九十" "徴" "LEVY, impose | SIGN, symptom"        
"二千百九十一" "懲" "CHASTISE"        
"二千百九十二" "殆" "ALMOST; quite, really"        
"二千百九十三" "后" "EMPRESS"        
"二千百九十四" "垢" "DIRT"        
"二千百九十五" "妃" "(married) PRINCESS"        
"二千百九十六" "姫" "DAUGHTER OF NOBLE BIRTH"        
"二千百九十七" "如" "AS (if), like"        
"二千百九十八" "茹" "BOIL"        
"二千百九十九" "婿" "SON-IN-LAW"        
"二千二百" "娘" "DAUGHTER | GIRL"        
"二千二百一" "嫁" "WED A MAN | BRIDE"        
"二千二百二" "稼" "WORK, work for a living"        
"二千二百三" "塚" "MOUND, hillock"        
"二千二百四" "豪" "GREAT MAN | MAGNIFICENT"        
"二千二百五" "蒙" "IGNORANCE, darkness | Phonetic (モウ)"        
"二千二百六" "墾" "CLEAR LAND FOR FARMING"        
"二千二百七" "懇" "FAMILIAR, intimate | EARNEST"        
"二千二百八" "貌" "APPEARANCE, form"        
"二千二百九" "逐" "DRIVE OUT | ONE BY ONE"        
"二千二百十" "遂" "ACCOMPLISH, carry out"        
"二千二百十一" "墜" "DROP DOWN"        
"二千二百十二" "堕" "DEGENERATE, descend"        
"二千二百十三" "随" "FOLLOW"        
"二千二百十四" "附" "ATTACH, be attached to, hand over"        
"二千二百十五" "髄" "MARROW"        
"二千二百十六" "怠" "IDLE, remiss"        
"二千二百十七" "惰" "LAZY"        
"二千二百十八" "佐" "ASSIST | FIELD OFFICER"        
"二千二百十九" "玩" "PLAY WITH"        
"二千二百二十" "弄" "PLAY WITH"        
"二千二百二十一" "嘲" "RIDICULE"        
"二千二百二十二" "奔" "RUSH, run"        
"二千二百二十三" "弊" "EVIL PRACTICE"        
"二千二百二十四" "幣" "CURRENCY | SHINTO PAPER OFFERING"        
"二千二百二十五" "蔽" "COVER"        
"二千二百二十六" "朋" "COMRADE"        
"二千二百二十七" "棚" "SHELF"        
"二千二百二十八" "柵" "FENCE, palissade"        
"二千二百二十九" "桁" "DIGIT | BEAM, girder"        
"二千二百三十" "栓" "STOPPER, spigot"        
"二千二百三十一" "詮" "INQUIRY"        
"二千二百三十二" "塞" "PLUG UP, obstruct"        
"二千二百三十三" "梗" "BLOCK"        
"二千二百三十四" "柿" "PERSIMMON"        
"二千二百三十五" "藤" "WISTERIA"        
"二千二百三十六" "騰" "RISE, jump up"        
"二千二百三十七" "謄" "TRANSCRIBE, copy"        
"二千二百三十八" "麺" "NOODLES"        
"二千二百三十九" "拉" "KIDNAP, pull"        
"二千二百四十" "晃" "DAZZLING"        
"二千二百四十一" "幌" "AWNING, hood"        
"二千二百四十二" "厘" "RIN (0.001 yen)"        
"二千二百四十三" "畝" "RIDGE"        
"二千二百四十四" "匁" "MONME (3.75 g)"        
"二千二百四十五" "匂" "SMELL, fragrance"        
"二千二百四十六" "勾" "BENT, sloping"        
"二千二百四十七" "挨" "GREET"        
"二千二百四十八" "拶" "GREET"        
"二千二百四十九" "曖" "NOT CLEAR"        
"二千二百五十" "昧" "DARK"        
"二千二百五十一" "瑠" "LAPIS LAZULI"        
"二千二百五十二" "璃" "GLASSY SUBSTANCE"        
"二千二百五十三" "嫉" "ENVY"        
"二千二百五十四" "妬" "ENVY"        
"二千二百五十五" "鹿" "DEER"        
"二千二百五十六" "塵" "DUST, trash"        
"二千二百五十七" "麓" "FOOT OF A MOUNTAIN"        
"二千二百五十八" "麗" "OF GRACEFUL BEAUTY"        
"二千二百五十九" "薦" "RECOMMEND"        
"二千二百六十" "慶" "FELICITATION"        
"二千二百六十一" "兜" "HELMET"        
"二千二百六十二" "睨" "GLARE AT"        
"二千二百六十三" "鼠" "RAT, mouse"        
"二千二百六十四" "溺" "DROWN, indulge in"        
"二千二百六十五" "潟" "LAGOON"        
"二千二百六十六" "濁" "TURBID"        
"二千二百六十七" "渇" "RUN DRY | THIRST"        
"二千二百六十八" "褐" "BROWN"        
"二千二百六十九" "葛" "KUDZU, arrowroot"        
"二千二百七十" "喝" "SHOUT AT"        
"二千二百七十一" "謁" "BE GRANTED AN AUDIENCE"        
"二千二百七十二" "掲" "PUT UP, display"        
"二千二百七十三" "戌" "(sign of) THE DOG"        
"二千二百七十四" "尤" "REASONABLE, plausible"        
"二千二百七十五" "駄" "GOOD FOR NOTHING | CLOGS"        
"二千二百七十六" "駒" "HORSE, pony | CHESS PIECE"        
"二千二百七十七" "篤" "SERIOUS | KIND"        
"二千二百七十八" "罵" "SPEAK ILL OF"        
"二千二百七十九" "蔑" "SCORN"        
"二千二百八十" "罠" "TRAP"        
"二千二百八十一" "烏" "RAVEN, crow"        
"二千二百八十二" "鴨" "DUCK"        
"二千二百八十三" "鳩" "PIGEON"        
"二千二百八十四" "鶏" "CHICKEN"        
"二千二百八十五" "渓" "RAVINE"        
"二千二百八十六" "鷹" "HAWK"        
"二千二百八十七" "鷲" "EAGLE"        
"二千二百八十八" "璽" "IMPERIAL SEAL"        
"二千二百八十九" "爽" "REFRESHING"        
"二千二百九十" "綴" "STITCH TOGETHER, bind | COMPOSE, spell"        
"二千二百九十一" "桑" "MULBERRY"        
"二千二百九十二" "蚕" "SILKWORM"        
"二千二百九十三" "蛋" "EGG"        
"二千二百九十四" "蟹" "CRAB"        
"二千二百九十五" "蚊" "MOSQUITO"        
"二千二百九十六" "巳" "(sign of) THE SERPENT"        
"二千二百九十七" "蛇" "SNAKE"        
"二千二百九十八" "繭" "COCOON"        
"二千二百九十九" "蝶" "BUTTERFLY"        
"二千三百" "虹" "RAINBOW"        
